===============================================================
 [ 종합 RMSE 비교 요약: 거리별 (m) ]
===============================================================
Dist(m)    | Prop             | MUSIC            | LSTM             | MLP              | KF               | 1D-CNN
      35 | 0.7528           | 5.0142           | 3.6829           | 34.3633          | 34.8526          | 22.4547
      36 | 0.7276           | 4.9934           | 3.6997           | 34.2505          | 34.7497          | 21.8205
      37 | 0.8001           | 5.0200           | 3.7778           | 35.7949          | 36.2944          | 22.6069
      38 | 0.7801           | 5.0251           | 3.7061           | 36.1631          | 36.6655          | 22.3616
      39 | 0.8465           | 4.9686           | 3.7076           | 38.5329          | 39.0407          | 22.7500
      40 | 0.8760           | 5.0080           | 3.7852           | 39.7933          | 40.3041          | 23.2405
      41 | 0.8852           | 5.0135           | 3.8034           | 40.4370          | 40.9632          | 23.4245
      42 | 0.9041           | 4.9789           | 3.7686           | 40.5384          | 41.0449          | 23.4831
      43 | 0.9564           | 4.9965           | 3.7528           | 42.5615          | 43.0687          | 24.4320
      44 | 0.9051           | 5.0015           | 3.7994           | 41.6478          | 42.1681          | 24.5668
      45 | 1.0722           | 4.9732           | 3.8188           | 42.4741          | 42.9900          | 24.0053
      46 | 1.0997           | 5.0033           | 3.8163           | 45.1354          | 45.6619          | 25.1461
      47 | 1.0495           | 5.0045           | 3.8482           | 46.2018          | 46.7399          | 25.2727
      48 | 1.2923           | 5.0015           | 3.8455           | 48.6067          | 49.1408          | 25.6496
      49 | 1.2178           | 5.0013           | 3.7603           | 47.6663          | 48.1908          | 24.8279
      50 | 1.3450           | 4.9956           | 3.8813           | 50.8689          | 51.4083          | 26.9986
      51 | 1.5392           | 4.9967           | 3.8193           | 50.8677          | 51.4023          | 26.2989
      52 | 1.4741           | 4.9828           | 3.9090           | 53.8527          | 54.4104          | 27.6664
      53 | 1.7942           | 5.0002           | 3.8966           | 56.3743          | 56.9160          | 28.1585
      54 | 1.7326           | 4.9978           | 3.8139           | 54.2958          | 54.8389          | 27.2980
      55 | 1.4779           | 5.0141           | 3.8209           | 54.7851          | 55.3345          | 28.0428
      56 | 1.8551           | 5.0183           | 4.0022           | 58.4279          | 58.9867          | 29.1750
      57 | 1.9771           | 5.0131           | 3.9662           | 62.1239          | 62.6884          | 29.8916
      58 | 1.9237           | 5.0037           | 4.0098           | 57.9854          | 58.5380          | 28.8389
      59 | 2.2719           | 5.0054           | 3.9835           | 61.9175          | 62.4753          | 29.3538
      60 | 1.7658           | 4.9895           | 4.1329           | 63.8847          | 64.4476          | 30.7413
      61 | 2.2266           | 4.9952           | 3.9756           | 64.1102          | 64.6733          | 29.9133
      62 | 2.7541           | 5.0276           | 4.0531           | 68.8524          | 69.4312          | 31.2498
      63 | 2.5408           | 4.9937           | 3.9991           | 66.5551          | 67.1217          | 31.2529
